Id,Predicted price,Actual price
1945,2794252.87,2700000.0
1946,876410.54,860000.0
1947,1692522.88,1050000.0
1948,3820180.42,3700000.0
1949,1070002.08,1120000.0
1950,3197971.82,2950000.0
1951,1618518.11,1520000.0
1952,1262421.25,1535000.0
1953,2300485.13,2300000.0
1954,3219054.7,3150000.0
1955,1157763.12,1175000.0
1956,3644073.01,3650000.0
1957,809411.7,695000.0
1958,1263168.33,1143000.0
1959,2350890.4,2325000.0
1960,3711892.13,3700000.0
1961,2688490.87,2850000.0
1962,3706226.59,3600000.0
1963,4299545.76,4300000.0
1964,1626304.75,1715000.0
1965,1553432.23,1525000.0
1966,1398661.38,1380000.0
1967,2762618.06,2825000.0
1968,2374980.21,2360000.0
1969,1871752.26,1865000.0
1970,782987.36,825000.0
1971,1417163.37,1395000.0
1972,3503688.81,3525000.0
1973,1551674.01,1525000.0
1974,1210921.05,1145000.0
1975,1161370.64,1090000.0
1976,1850806.83,1825000.0
1977,1800295.71,1875000.0
1978,1221897.72,1240000.0
1979,1645980.48,1780000.0
1980,2208190.44,2150000.0
1981,825891.55,760000.0
1982,2714412.93,2800000.0
1983,2819761.51,2900000.0
1984,1739114.17,1685000.0
1985,950955.69,980000.0
1986,1529533.74,1560000.0
1987,2462629.32,2425000.0
1988,1576216.46,1620000.0
1989,1880237.58,2025000.0
1990,1390820.38,1350000.0
1991,2019707.2,2025000.0
1992,1424497.49,1345000.0
1993,4288358.21,4500000.0
1994,1394404.05,1295000.0
1995,2041496.99,2025000.0
1996,1984442.71,1995000.0
1997,1144707.2,1125000.0
1998,3392299.18,3600000.0
1999,2141023.16,2100000.0
2000,2851670.27,2870000.0
2001,1168845.65,1150000.0
2002,2682836.29,2700000.0
2003,1228325.96,1360000.0
2004,2707497.36,2750000.0
2005,1459038.5,1360000.0
2006,3982399.7,4099999.9999999995
2007,2309999.47,2300000.0
2008,1639925.12,1700000.0
2009,2039761.78,2069999.9999999998
2010,3112540.96,3030000.0
2011,1345291.97,1330000.0
2012,1815301.3,1870000.0
2013,1332930.45,1400000.0
2014,3439941.88,3300000.0
2015,4651802.54,4795000.0
2016,4330410.0,4600000.0
2017,1438934.09,1460000.0
2018,3257989.65,3172500.0
2019,1658881.31,1720000.0
2020,2566499.71,2460000.0
2021,1911113.26,1995000.0
2022,1377511.74,1330000.0
2023,5329930.31,5350000.0
2024,1571189.52,1640000.0
2025,2872870.21,2995000.0
2026,899305.64,850000.0
2027,2900196.31,2800000.0
2028,3487364.77,3600000.0
2029,2227490.66,2250000.0
2030,1025191.07,1100000.0
2031,5064584.73,4995000.0
2032,2800124.65,2875000.0
2033,1306920.65,1300000.0
2034,919724.64,890000.0
2035,7666911.13,7100000.0
2036,1288809.42,1260000.0
2037,3310833.69,3300000.0
2038,1530832.77,1600000.0
2039,2071600.2,2020000.0
2040,4773399.35,4800000.0
2041,2843787.19,2875000.0
2042,1435117.96,1300000.0
2043,4545285.22,4600000.0
2044,1112928.27,1100000.0
2045,5360362.53,5450000.0
2046,1265434.86,1195000.0
2047,693218.05,650000.0
2048,1409276.6,1400000.0
2049,1285902.02,1200000.0
2050,1006133.79,980000.0
2051,2520019.77,2380000.0
2052,2773163.08,2800000.0
2053,970894.93,1140000.0
2054,3236837.15,3000000.0
2055,904227.14,850000.0
2056,4229343.41,4250000.0
2057,1502231.0,1570000.0
2058,1710696.94,1650000.0
2059,3353822.71,3900000.0
2060,2863851.31,2700000.0
2061,3738296.03,3680000.0
2062,3192236.19,3250000.0
2063,2429337.02,2400000.0
2064,936459.48,900000.0
