Slussen, 3360000  , 28475 ,4,118, 5663 
Ribersborg, 3160000  , 41579 ,3,76, 3721 
Glumslöv, 7285000  ,NaN,5,297, 1822m² tomt 45m² biarea 
Olympia, 2000000  , 24691 ,3,81, 4326 
not specified, 1200000  , 25532 ,2,47, 2418 
Furulund, 4020000  ,NaN,4,118, 381m² tomt 15m² biarea 
Centrum, 4700000  , 49474 ,4,95, 5744 
Gamla Staden, 5000000  , 41667 ,4,120, 6414 
Höganäs, 2800000  , 39161 ,3,71.5, 4424 
Malmö City, 1975000  , 47590 ,1,41.5, 2831 
Vik, 1600000  ,NaN,1,897,Rent not specified
Vä, 4500000  ,NaN,5,185, 1403m² tomt 40m² biarea 
Norr, 3000000  , 44118 ,2,68, 3741 
Ribersborg, 3350000  , 54918 ,2,61, 3961 
Gärds köpinge, 2550000  ,NaN,5,122, 1210m² tomt 
Ribersborg, 3230000  , 56667 ,2,57, 3965 
Drottningtorget, 2200000  , 33333 ,2.5,66, 3835 
Värnhem, 2950000  , 29208 ,3,101, 4699 
Tågaborg, 3250000  , 36111 ,3,90, 5152 
Dalby, 1625000  , 32500 ,1,50, 2946 
Hjärup, 8500000  ,NaN,7,192, 2246m² tomt 72m² biarea 
Bunkeflo, 5530000  ,NaN,5,148, 326m² tomt 70m² biarea 
Yngsjö Strand, 3600000  ,NaN,7,180, 1951m² tomt 12m² biarea 
Centralt, 4100000  , 45708 ,3,89.7, 5940 
Vipeholmsparken, 3375000  , 42722 ,3,79, 4529 
Stadsteatern/Davidshall, 4300000  , 40952 ,3,105, 5581 
not specified, 2100000  ,NaN,4,60, 2378m² tomt 12m² biarea 
Everöd - Kristianstad, 2080000  ,NaN,5,123, 2762m² tomt 53m² biarea 
City, 1325000  , 16987 ,3,78, 3948 
Slottsstaden, 2000000  , 36364 ,2,55, 3098 
Spelmansgården, 2650000  , 33544 ,3,79, 5580 
not specified, 625000  , 9058 ,3,69, 5072 
Åstorp, 830000  , 8925 ,3,93, 5140 
Vellinge centralt, 1650000  , 31132 ,2,53, 3934 
Sjöbo Sandbäck, 1450000  , 22308 ,2,65, 3739 
Tomelilla, 2450000  ,NaN,4,150, 728m² tomt 80m² biarea 
Tyringe, 510000  , 6538 ,3,78, 4632 
