region,price,price per sq mtr,rooms,size,rent
Västra Hamnen,2695000, 34551 ,2.0,78.0, 4938 
Ribersborg,1500000, 48387 ,1.0,31.0, 1883 
Davidshallstorg,3850000, 49359 ,3.0,78.0, 3712 
Hyllie,1840000, 40351 ,2.0,45.6, 2010 
Bunkeflostrand,4000000,price not specified,5.0,116.0, 5205 
Almhög,1120000, 20550 ,2.0,54.5, 3800 
S:t Knut,1885000, 41889 ,2.0,45.0, 3174 
Slottsstaden,2370000, 47400 ,2.0,50.0, 3455 
City,3600000, 43902 ,3.0,82.0, 2508 
Bulltofta,2745000, 31919 ,4.0,86.0, 5328 
Ellstorp,1400000, 28000 ,2.0,50.0, 2726 
Klagshamn,3100000,price not specified,5.0,127.0, 8416 
Limhamn - Ön,2200000, 48889 ,2.0,45.0, 2828 
Västra Hamnen,2372950, 44354 ,2.0,53.5, 2841 
Ellstorp,1375000, 19643 ,3.0,70.0, 5578 
Almhög,935000, 16549 ,2.0,56.5, 3823 
Pildammarna,2525000, 30060 ,3.0,84.0, 5209 
Limhamns Sjöstad,3000000, 43478 ,2.0,69.0, 2635 
S:t Knut,2625000, 47727 ,2.0,55.0, 2340 
Kastanjegården,2100000, 15789 ,5.0,133.0, 6953 
Håkanstorp,1020000, 16585 ,2.0,61.5, 3665 
Värnhem,2650000, 38971 ,2.5,68.0, 3711 
Ribersborg,1995000, 34397 ,2.0,58.0, 3223 
Bunkeflostrand,2650000, 23874 ,4.0,111.0, 7460 
Södertorp,2100000, 24138 ,3.0,87.0, 4779 
Rörsjöstaden,5950000, 54091 ,4.0,110.0, 5296 
Högaholm,950000, 14844 ,2.0,64.0, 3414 
Almhög,550000, 25581 ,1.0,21.5, 1615 
Rosengård,845000, 13740 ,2.0,61.5, 4155 
Västra Hamnen,2999500, 46146 ,3.0,65.0, 3665 
Östra Sorgenfri/nobel,1100000, 28205 ,1.0,39.0, 2699 
Värnhem,1050000, 36207 ,1.0,29.0, 2427 
Hyllie,3395000, 33614 ,4.0,101.0, 5499 
S:t Knut,3300000, 38824 ,4.0,85.0, 5120 
