region,price,price per sq mtr,rooms,size,rent
Trädgårdsstaden,3295000,,6.0,142.0, 5929 
Östra Karup,1955000,,5.0,112.5, 5167 
Östra Karup,1955000,,5.0,112.5, 5167 
Centrala Ystad,1800000,22930.0,3.0,78.5, 3355 
Lugnet,2550000,28977.0,3.0,88.0, 4371 
Söderkulla,1900000,22892.0,3.0,83.0, 4283 
Östra Torn,2700000,26341.0,4.0,102.5, 5826 
Slussen,2550000,34459.0,3.0,74.0, 4851 
Triangeln,4525000,50278.0,3.0,90.0, 4424 
Hästhagen,2025000,39706.0,2.0,51.0, 3448 
Slottsstaden,2375000,36994.0,2.5,64.2, 2891 
Slottsstaden,4200000,48276.0,3.0,87.0, 4450 
Triangeln,2200000,32836.0,2.0,67.0, 3340 
Barsebäcks by,3800000,31667.0,5.0,120.0, 5990 
Gamla Näsby,950000,12752.0,3.0,74.5, 3911 
Arlöv,2100000,20290.0,4.0,103.5, 4907 
Sofiaparken,2700000,33750.0,3.0,80.0, 3641 
Centrum - Östermalm,2000000,37037.0,1.0,54.0, 2898 
Centrum,3900000,45508.0,3.0,85.7, 4087 
Väster,1675000,22945.0,3.0,73.0, 3490 
Centralt,1225000,18846.0,2.0,65.0, 3816 
Norra Sorgenfri,4275000,38170.0,5.0,112.0, 5374 
Västra Hamnen,4000000,47619.0,3.0,84.0, 4866 
Dammfri,1695000,29737.0,2.0,57.0, 2800 
Eslöv Centralt,2050000,19524.0,4.0,105.0, 5913 
Eneborg,1250000,24272.0,2.0,51.5, 3605 
Röda Höja,1750000,20468.0,3.0,85.5, 4170 
Olympia,4750000,28274.0,5.0,168.0, 7576 
Tågaborg,3520000,,4.0,118.0, 6318 
Höllviken,5300000,43802.0,5.0,121.0, 7689 
Centrum,2375000,32534.0,2.0,73.0, 3615 
Slottstaden,1535000,43857.0,1.0,35.0, 2415 
Slottsstaden,2100000,38889.0,2.0,54.0, 3781 
Östra Karup,2095000,,5.0,112.5, 5167 
Ramlösa,1900000,18009.0,4.0,105.5, 6838 
Björka,1395000,,5.0,124.5, 8744 
Centralt,1530000,26609.0,2.0,57.5, 3017 
Höganäs,1150000,15132.0,4.0,76.0, 6402 
Tågaborg,2775000,39085.0,2.0,71.0, 3589 
Vasatorp,2200000,32353.0,3.0,68.0, 3744 
Slottsstaden,3250000,43624.0,3.0,74.5, 4213 
Ellstorp,1395000,25833.0,2.0,54.0, 4097 
Nobeltorget,1370000,27400.0,2.0,50.0, 3332 
Ättekulla,2100000,27451.0,3.0,76.5, 4585 
Slottsstaden,3310000,46554.0,3.0,71.1, 2981 
Östra Sorgenfri,1500000,30000.0,2.0,50.0, 3029 
Norra Fäladen,1980000,28696.0,2.0,69.0, 3596 
Tuna,1495000,77865.0,1.0,19.2, 1115 
Norra Fäladen,1995000,19463.0,4.0,102.5, 6754 
Arlöv,1800000,23684.0,3.0,76.0, 4520 
Husie - Kvarnby,2450000,,4.0,97.0, 7243 
Centrum,1350000,21774.0,2.0,62.0, 4659 
Västra Sorgenfri,1400000,33413.0,1.5,41.9, 3435 
Klippan,400000,5839.0,2.0,68.5, 5007 
Sofiaparken,1850000,81858.0,1.0,22.6, 1902 
Folkets Park,1595000,33936.0,2.0,47.0, 3341 
Trelleborg,1320000,21463.0,2.0,61.5, 3216 
Oceanhamnen,1500000,68182.0,1.0,22.0, 1358 
Folkets Park,1550000,39744.0,2.0,39.0, 3081 
Linero,1880000,29375.0,2.0,64.0, 4095 
Södertorp,1975000,22443.0,3.0,88.0, 5271 
Hyllie,3325000,36538.0,4.0,91.0, 4693 
Lomma Hamn,3200000,60377.0,2.0,53.0, 3489 
Solslätt,685000,9384.0,3.0,73.0, 4544 
Nya Linero,1995000,28913.0,3.0,69.0, 3736 
Husensjö,1900000,20213.0,4.0,94.0, 5870 
Västra Hamnen,2395000,35746.0,1.0,67.0, 4129 
Västra Sjöstaden,1610000,22361.0,3.0,72.0, 4152 
Limhamn,1650000,43421.0,2.0,38.0, 2320 
Granlunda,1000000,15385.0,2.0,65.0, 4169 
Slussen,3700000,48052.0,3.0,77.0, 3763 
Rosengården,1150000,15862.0,3.0,72.5, 4617 
Sommarlust,1275000,20902.0,2.0,61.0, 3131 
Östermalm,2000000,33333.0,2.0,60.0, 2162 
Västra Sorgenfri,1130000,36452.0,1.0,31.0, 2979 
Limhamn - Ön,4135000,53013.0,3.0,78.0, 3935 
Bromölla,270000,4865.0,2.0,55.5, 2663 
Tuna,2700000,35526.0,3.0,76.0, 4450 
Helsingborg - Centrum,3975000,41842.0,3.0,95.0, 5198 
Oceanhamnen,1895000,59219.0,1.0,32.0, 1834 
Helsingborg,850000,23944.0,1.0,35.5, 2440 
Högaholm,770000,12031.0,2.0,64.0, 4598 
Solbacken,3995000,,4.0,109.5, 6737 
Högaholm,1060000,12927.0,3.0,82.0, 5369 
Slottshöjden,1600000,39024.0,1.0,41.0, 3096 
Tågaborg,1920000,25600.0,3.0,75.0, 4384 
Lönngården,895000,16760.0,2.0,53.4, 3688 
Klippan,400000,5479.0,3.0,73.0, 4527 
Slottsstaden,2525000,44298.0,2.0,57.0, 2586 
Centralt,1425000,17593.0,3.0,81.0, 3198 
Centrum,1700000,20732.0,3.0,82.0, 5247 
Malmö Lönngården,700000,21212.0,1.0,33.0, 1482 
Möllevången,2300000,35938.0,3.0,64.0, 4115 
Östra Torn,2285000,28385.0,4.0,80.5, 5846 
Hyllie,2100000,42000.0,2.0,50.0, 2867 
Rörsjöstaden,1750000,47297.0,2.0,37.0, 1657 
Bulltofta Friluftsstad,1610000,29815.0,2.0,54.0, 3413 
Östra Sorgenfri,1530000,23182.0,3.0,66.0, 4250 
Drottningtorget,4950000,36940.0,4.0,134.0, 9160 
Landskrona,1260000,18261.0,3.0,69.0, 4517 
Bokeberg,760000,11692.0,2.0,65.0, 3206 
Raus södra,1600000,15459.0,4.0,103.5, 7406 
Tågaborg,2125000,40094.0,2.0,53.0, 3313 
S:t Knut,1095000,49773.0,1.0,22.0, 1611 
Möllevången,3310000,34124.0,4.0,97.0, 4964 
Söderkulla,1725000,16587.0,4.0,104.0, 5455 
Helsingborg,1600000,13793.0,4.0,116.0, 7637 
Centrum,2000000,40000.0,1.5,50.0, 2501 
Norra Sofielund,1070000,32424.0,1.5,33.0, 2127 
Dalhem/Kjellstorp,1295000,12822.0,4.0,101.0, 7386 
Lindeborg,3300000,,5.0,138.0, 6881 
Möllevången,2240000,32941.0,2.0,68.0, 4433 
